IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
GMM00010113,53.7139,7.1525,11.0,NORDERNEY ,11,2019,5609
GMM00010122,53.5333,7.8833,7.0,JEVER ,7,1952,872
GMM00010184,54.0978,13.4075,2.0,GREIFSWALD ,2,2019,71457
GMM00010200,53.3894,7.2269,0.0,EMDEN-FLUGPLATZ ,0,2011,46395
GMM00010238,52.8153,9.9247,70.0,BERGEN ,70,2019,47706
GMM00010304,52.7156,7.3175,19.0,MEPPEN ,19,2019,21660
GMM00010307,52.267,7.433,78.0,NORDHORN ,78,1985,5346
GMM00010338,52.467,9.7,55.0,HANNOVER ,55,1997,44613
GMM00010384,52.483,13.417,46.0,BERLIN/TEMPELHOF ,46,1993,30570
GMM00010393,52.2167,14.1167,112.0,LINDENBERG ,112,2019,101869
GMM00010404,51.733,6.267,43.0,KALKAR ,43,1978,3052
GMM00010410,51.4056,6.9686,153.0,ESSEN-BREDENEY ,153,2019,57178
GMM00010419,51.2333,7.6,458.0,LUDENSCHEID ,458,1952,1004
GMM00010437,51.13,9.28,223.0,FRITZLAR/KASSELER ,223,2007,21333
GMM00010454,51.85,10.7667,234.0,WERNIGERODE ,234,1964,9806
GMM00010468,51.55,12.0667,106.0,OPPIN ,106,2006,3700
GMM00010486,51.11,13.67,249.0,WAHNSDORF ,249,2000,40165
GMM00010513,50.8667,7.1333,91.0,KOLN/BONN ,91,1965,1759
GMM00010548,50.5617,10.3772,450.0,MEININGEN ,450,2019,58808
GMM00010610,49.95,6.57,367.0,BITBURG ,367,1959,3760
GMM00010618,49.6928,7.3264,376.0,IDAR-OBERSTEIN ,376,2019,51643
GMM00010619,49.65,7.3,426.0,BAUMHOLDER (USA-AF) ,426,1989,1342
GMM00010633,50.05,8.33,139.0,WIESBADEN ,139,1957,9837
GMM00010639,50.017,8.667,135.0,LANGEN ,135,1975,349
GMM00010642,50.167,8.95,112.0,HANAU ,112,1989,804
GMM00010659,49.75,10.2,212.0,KITZINGEN AAF ,212,1985,631
GMM00010687,49.7,11.95,414.0,GRAFENWOEHR ,414,1992,3151
GMM00010739,48.8333,9.2,314.0,STUTTGART/SCHNARRENBERG ,314,2019,62199
GMM00010764,49.383,11.167,386.0,FEUCHT(USA-AF) ,386,1990,1528
GMM00010771,49.4283,11.9022,417.0,KUEMMERSBRUCK ,417,2019,50537
GMM00010828,48.1,9.25,646.0,SIGMARINGEN ,646,2007,7537
GMM00010866,48.354,11.786,453.0,MUNICH/RIEM ,453,1976,20686
GMM00010868,48.2442,11.5525,484.0,MUENCHEN-OBERSCHLEISSHEIM ,484,2019,50115
GMM00010921,47.983,8.9,807.0,NEUHAUSEN OB ECK ,807,1994,13874
GMM00010934,47.65,9.4833,407.0,FRIEDRICHSHAFEN ,407,1954,1299
GMM00010954,47.8342,10.8667,756.0,ALTENSTADT ,756,2019,16494
GMM00010962,47.8019,11.0119,977.0,HOHENPEISSENBERG ,977,2019,3660
GMXUAC00001,48.02,7.83,268.0,FREIBURG ,268,1942,1516
GMXUAC00002,49.75,6.98,273.0,TRIER ,273,1940,220
GMXUAC00006,51.02,11.03,320.0,ERFURT ,320,1942,465
GMXUAE05645,53.58,6.68,0.0,BORKUM ,0,1920,184
GMXUAE05685,53.62,9.98,17.0,HAMBURG ,17,1920,1104
GMXUAE05751,54.67,9.4,24.0,TARP ,24,1920,177
GOM00061968,-11.583,47.283,3.0,ILES GLORIEUSES ,3,2000,7379
GPM00078897,16.2639,-61.5164,11.0,LE RAIZET AERO ,11,2019,40429
GQM00091212,13.4767,144.7944,75.4,WEATHER FORECAST OFFICE ,75,2019,60721
GRM00016622,40.5272,22.9714,6.7,THESSALONIKI (AIRPORT) ,6,2019,25519
GRM00016716,37.8897,23.7417,43.1,ATHINAI HELLINIKON ,43,2019,60096
GRM00016754,35.3353,25.1819,35.0,HERAKLEION (AIRPORT) ,35,2019,38356
GTM00078637,15.717,-88.6,1.0,PUERTO BARRIOS ,1,1978,639
GTM00078641,14.5333,-90.5667,1496.3,GUATEMALA CITY ,1496,1990,5620
GTM00078647,13.917,-90.817,2.0,SAN JOSE ,2,1978,1220
GVM00061831,9.5667,-13.6167,49.0,CONAKRY ,49,2000,13759
GVXUAAW1809,11.3167,-12.3,1025.0,LABE ,1025,1957,3485
GVXUAAW1820,10.3667,-12.0833,782.0,MAMOU ,782,1953,2746
GVXUAAW1829,10.3833,-9.3,377.0,KANKAN ,377,1957,11475
HKM00045004,22.3272,114.1686,24.0,KOWLOON ,24,2019,77999
HMM00094997,-53.1,73.7167,13.0,HEARD IS.(THESPIT) ,13,1954,2295
HOM00078501,17.4,-83.9333,11.3,SWAN ISLAND ,11,1980,22712
