#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,12,11,0,5,8.4,99,99,99,99,999,9999,-2.8,999,999,99,99
2018,1,12,12,0,17 1,1.2,99,99,99,99,999,9999,-3.2,999,999,99,99
2018,1,12,13,0,12 1,1.6,99,99,99,99,999,9999,-3.6,999,999,99,99
2018,1,12,14,0,8 1,1,99,99,99,99,999,9999,-3.8,999,999,99,99
2018,1,12,18,0,11 1,1.1,99,99,99,99,999,9999,-4.3,999,999,99,99
2018,1,12,19,0,15 1,5.2,99,99,99,99,999,9999,-4.5,999,999,99,99
2018,1,12,20,0,12 1,2,99,99,99,99,999,9999,-4.2,999,999,99,99
2018,1,12,21,0,13 1,3.5,99,99,99,99,999,9999,-3.7,999,999,99,99
2018,1,12,22,0,11 1,1.9,99,99,99,99,999,9999,-3.4,999,999,99,99
2018,1,12,23,0,11 1,2.2,99,99,99,99,999,9999,-3.3,999,999,99,99
2018,1,13,0,0,8 1,1.8,99,99,99,99,999,9999,-3.4,999,999,99,99
2018,1,13,1,0,6 1,1.6,99,99,99,99,999,9999,-4,999,999,99,99
2018,1,13,2,0,351,8.4,99,99,99,99,999,9999,-6.3,999,999,99,99
2018,1,13,3,0,343,9.6,99,99,99,99,999,9999,-6.7,999,999,99,99
2018,1,13,4,0,353,8.6,99,99,99,99,999,9999,-6.9,999,999,99,99
2018,1,13,5,0,347,7.7,99,99,99,99,999,9999,-7.5,999,999,99,99
2018,1,13,6,0,342,5,99,99,99,99,999,9999,-8.4,999,999,99,99
2018,1,13,7,0,331,4,99,99,99,99,999,9999,-9.1,999,999,99,99
2018,1,13,8,0,340,6.3,99,99,99,99,999,9999,-9.5,999,999,99,99
2018,1,13,9,0,327,5,99,99,99,99,999,9999,-10.3,999,999,99,99
2018,1,13,10,0,329,5.4,99,99,99,99,999,9999,-11.1,999,999,99,99
2018,1,13,11,0,321,3.3,99,99,99,99,999,9999,-11.6,999,999,99,99
2018,1,13,12,0,319,2.4,99,99,99,99,999,9999,-12.1,999,999,99,99
2018,1,13,13,0,318,2.8,99,99,99,99,999,9999,-12.4,999,999,99,99
2018,1,13,14,0,327,3.9,99,99,99,99,999,9999,-12,999,999,99,99
2018,1,13,15,0,320,3.1,99,99,99,99,999,9999,-10.9,999,999,99,99
2018,1,13,16,0,344,2.6,99,99,99,99,999,9999,-10,999,999,99,99
2018,1,13,17,0,21,3.1,99,99,99,99,999,9999,-9.8,999,999,99,99
2018,1,13,18,0,10,2.2,99,99,99,99,999,9999,-9.1,999,999,99,99
2018,1,13,19,0,351,4.1,99,99,99,99,999,9999,-9.3,999,999,99,99
2018,1,13,20,0,349,0.7,99,99,99,99,999,9999,-8.6,999,999,99,99
2018,1,13,21,0,303,1.8,99,99,99,99,999,9999,-8.6,999,999,99,99
2018,1,13,22,0,8,2,99,99,99,99,999,9999,-8.9,999,999,99,99
2018,1,13,23,0,300,1.3,99,99,99,99,999,9999,-9.2,999,999,99,99
2018,1,14,0,0,289,2.3,99,99,99,99,999,9999,-9.3,999,999,99,99
2018,1,14,1,0,329,2.8,99,99,99,99,999,9999,-9.7,999,999,99,99
2018,1,14,2,0,323,1.5,99,99,99,99,999,9999,-10.2,999,999,99,99
