#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2015,1,24,16,0,287,10.8,4.1
2015,1,24,17,0,275,7.4,5.3
2015,1,24,18,0,294,12.6,6.4
2015,1,24,19,0,263,9.7,5.1
2015,1,24,20,0,267,11.1,5.6
2015,1,24,21,0,268,4.2,4.5
2015,1,24,22,0,274,6.7,3.2
2015,1,24,23,0,235,4.1,2.4
2015,1,25,0,0,114,1.3,2.2
2015,1,25,1,0,328,2.2,2.2
2015,1,25,2,0,18,2.5,2.0
2015,1,25,3,0,9,5.0,1.1
2015,1,25,4,0,14,5.7,0.6
2015,1,25,5,0,29,4.9,0.4
2015,1,25,6,0,21,1.9,0.4
2015,1,25,7,0,17,3.4,0.4
2015,1,25,8,0,7,6.1,0.4
2015,1,25,9,0,5,5.7,0.6
2015,1,25,10,0,354,7.8,1.1
2015,1,25,11,0,23,13.3,1.6
2015,1,25,12,0,33,14.0,1.1
2015,1,25,13,0,46,21.9,0.4
2015,1,25,14,0,46,17.7,0.0
2015,1,25,15,0,44,18.6,0.0
2015,1,25,16,0,33,17.7,-0.2
2015,1,25,17,0,35,20.3,-1.2
2015,1,25,18,0,24,24.0,-1.8
2015,1,25,19,0,25,20.5,-2.5
2015,1,25,20,0,25,19.3,-3.0
2015,1,25,21,0,22,19.0,-3.0
2015,1,25,22,0,35,14.6,-2.9
2015,1,25,23,0,23,17.7,-2.6
2015,1,26,0,0,27,18.7,-2.5
2015,1,26,1,0,23,16.1,-2.8
2015,1,26,2,0,41,15.4,-3.2
2015,1,26,3,0,20,9.4,-3.5
2015,1,26,4,0,37,12.8,-3.8
2015,1,26,5,0,56,17.4,-4.0
2015,1,26,6,0,35,8.4,-4.5
2015,1,26,7,0,57,10.8,-4.5
2015,1,26,8,0,45,5.9,-4.9
2015,1,26,9,0,65,5.4,-5.0
2015,1,26,10,0,38,3.3,-4.9
2015,1,26,11,0,50,3.9,-4.9
2015,1,26,12,0,64,3.8,-5.0
2015,1,26,13,0,156,2.5,-4.7
2015,1,26,14,0,252,4.5,-4.7
2015,1,26,15,0,160,1.4,-4.0
2015,1,26,16,0,224,6.0,-3.9
2015,1,26,17,0,196,4.6,-3.2
2015,1,26,18,0,192,5.6,-2.4
2015,1,26,19,0,198,6.3,-2.2
2015,1,26,20,0,143,3.8,-3.4
2015,1,26,22,0,150,8.6,-3.0
2015,1,26,23,0,190,8.0,-2.5
2015,1,27,0,0,199,6.4,-2.9
2015,1,27,1,0,159,5.1,-3.0
2015,1,27,2,0,172,2.5,-2.9
2015,1,27,4,0,140,8.2,-2.8
2015,1,27,5,0,146,7.8,-2.5
2015,1,27,6,0,141,4.4,-2.5
2015,1,27,7,0,126,5.7,-2.5
2015,1,27,8,0,118,6.4,-2.7
2015,1,27,9,0,103,3.5,-2.6
2015,1,27,10,0,65,3.8,-2.3
2015,1,27,11,0,56,8.8,-1.8
2015,1,27,12,0,69,10.7,-1.9
2015,1,27,13,0,66,9.8,-1.9
2015,1,27,14,0,29,10.2,-2.0
2015,1,27,15,0,44,10.9,-1.9
2015,1,27,16,0,54,6.3,-1.9
2015,1,27,17,0,42,6.2,-2.0
2015,1,27,18,0,34,12.8,-2.3
2015,1,27,19,0,19,5.0,-2.4
2015,1,27,20,0,5,10.2,-2.5
2015,1,27,21,0,355,8.7,-2.4
2015,1,27,22,0,0,10.1,-2.5
2015,1,27,23,0,2,10.7,-2.4
2015,1,28,0,0,8,10.4,-2.5
2015,1,28,1,0,39,6.8,-2.6
2015,1,28,2,0,35,6.3,-2.4
2015,1,28,3,0,30,3.2,-2.5
